2BLOCK              -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SSECP               -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SSEF                -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.85	-
SVM0                4.92	2.95	1.99	1.71	1.36	1.31	1.15	1.08	1.02	0.89	0.90	0.91	0.88	0.81	0.71	0.80	-
SVM1                2.43	2.45	1.98	2.00	1.66	1.62	1.50	1.51	1.37	1.38	1.37	1.31	1.34	1.22	1.35	1.31	-
SVM2                8.12	4.56	3.17	2.63	2.13	1.97	1.75	1.65	1.43	1.42	1.32	1.27	1.15	1.02	1.05	1.12	-
SVM3                7.40	4.17	2.86	2.36	2.03	1.78	1.56	1.40	1.54	1.56	1.23	1.17	1.20	1.09	1.04	1.10	-
SVM4                6.39	3.57	2.57	2.23	2.15	1.78	1.58	1.51	1.46	1.38	1.33	1.29	1.24	1.16	1.06	1.08	-
TBM                 5.93	3.30	2.45	2.01	1.72	1.48	1.40	1.40	1.28	1.20	1.19	1.12	1.05	0.97	1.07	0.99	-
TNDM                2.23	1.93	1.52	1.41	1.23	1.22	0.99	0.83	0.91	0.85	0.68	0.76	0.64	0.72	0.64	0.65	-
TNDMA               2.39	2.11	1.68	1.61	1.36	1.32	1.24	1.03	1.06	1.08	0.96	0.92	0.80	0.75	0.79	0.69	-
TRF                 2.87	2.53	2.09	1.74	1.67	1.48	1.33	1.14	1.19	1.09	1.08	1.07	0.82	1.04	0.98	0.91	-
TS                  1.86	1.91	1.50	1.46	1.25	1.06	1.07	1.11	0.95	1.04	0.98	0.93	0.97	0.91	0.92	0.85	-
TSW                 2.09	1.79	1.33	0.90	1.05	1.09	0.98	0.97	0.91	0.76	0.83	0.87	0.69	0.59	0.77	0.60	-
TUNEDBM             3.57	2.30	1.62	1.43	1.09	1.18	1.05	0.96	0.98	0.83	0.89	0.83	0.78	0.81	0.83	0.83	-
TVSBS               2.59	1.95	1.61	1.42	1.19	1.09	0.81	1.00	0.86	0.85	0.74	0.80	0.87	0.71	0.64	0.65	-
TVSBS-W2            2.11	1.90	1.17	1.02	1.08	1.01	0.85	0.94	0.90	0.72	0.83	0.79	0.67	0.80	0.80	0.79	-
TVSBS-W4            1.82	1.81	1.11	1.01	0.93	0.99	0.93	0.85	0.66	0.71	0.61	0.63	0.72	0.78	0.59	0.54	-
TVSBS-W6            1.90	1.88	1.08	0.86	0.98	0.95	0.77	0.69	0.80	0.81	0.73	0.78	0.68	0.58	0.74	0.64	-
TVSBS-W8            2.06	1.77	1.10	0.89	1.01	0.79	0.81	0.91	0.71	0.65	0.61	0.59	0.75	0.80	0.54	0.52	-
TW                  2.83	2.96	2.91	3.27	3.42	3.40	3.19	2.88	3.11	2.61	2.47	3.48	3.56	3.15	2.75	3.50	-
UFNDMQ2             1.35	1.01	0.74	0.63	0.71	0.58	0.73	0.55	0.53	0.68	0.42	0.48	0.47	0.45	0.53	0.41	-
UFNDMQ4             -	0.97	0.75	0.66	0.51	0.60	0.44	0.39	0.52	0.36	0.45	0.45	0.39	0.40	0.35	0.42	-
UFNDMQ6             -	-	0.89	0.67	0.69	0.53	0.59	0.61	0.40	0.50	0.41	0.36	0.41	0.36	0.41	0.33	-
UFNDMQ8             -	-	-	0.94	0.77	0.68	0.57	0.53	0.63	0.41	0.51	0.52	0.39	0.46	0.40	0.50	-
WW                  3.02	2.60	2.03	1.83	1.56	1.49	1.28	1.09	1.12	1.01	0.90	0.87	0.95	0.79	0.98	0.75	-
ZT                  5.31	3.06	2.13	1.67	1.39	1.20	1.24	1.03	0.99	1.02	0.87	0.91	0.84	0.81	0.81	0.86	-
